Tags,java,android,swing,eclipse,spring,hibernate,arrays,multithreading,xml,jsp,string,servlets,maven,java-ee,mysql,spring-mvc,json,regex,tomcat,jpa,jdbc,javascript,arraylist,web-services,sql,generics,netbeans,sockets,user-interface,jar,html,jsf,database,file,google-app-engine,gwt,junit,exception,algorithm,rest,class,performance,applet,image,jtable,c#,jframe,collections,c++,methods,oop,linux,nullpointerexception,jaxb,parsing,oracle,concurrency,php,jpanel,jboss,object,ant,date,selenium,javafx,jvm,list,struts2,hashmap,sorting,awt,http,inheritance,reflection,hadoop,windows,loops,unit-testing,sqlite,design-patterns,serialization,security,intellij-idea,file-io,logging,swt,apache,annotations,jersey,jquery,scala,libgdx,osx,encryption,spring-security,log4j,python,jni,soap,interface,io,for-loop,recursion,jackson,web-applications,ssl,jsf-2,jbutton,android-layout,playframework,graphics,ajax,glassfish,eclipse-plugin,enums,selenium-webdriver,networking,c,if-statement,apache-poi,listview,pdf,mongodb,android-activity,math,android-fragments,api,data-structures,excel,android-intent,orm,constructor,validation,ejb,debugging,classpath,audio,static,map,layout,testing,garbage-collection,design,java.util.scanner,groovy,exception-handling,primefaces,random,variables,java-8,jsoup,memory,url,linked-list,gson,session,postgresql,jasper-reports,actionlistener,jetty,lucene,timer,jms,android-asynctask,jstl,classloader,jax-rs,maven-2,javafx-2,.net,jax-ws,jlabel,casting,email,struts,datetime,jtextfield,gradle,itext,java-me,multidimensional-array,opengl,while-loop,caching,inputstream,dependency-injection,javamail,csv,cxf,xml-parsing,properties,mockito,google-maps,rmi,osgi,wsdl,search,encoding,button,split
java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
android,0.86808443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swing,0.9398534,0.99958205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eclipse,0.95730746,0.94037575,0.99274546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spring,0.9586036,0.9991374,0.9992457,0.9907099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hibernate,0.9703631,0.99987006,0.99894017,0.99490523,0.9052339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrays,0.9766366,0.9900926,0.9935281,0.9967941,0.9995232,0.999767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multithreading,0.9775118,0.9827087,0.9840489,0.9974176,0.9943256,0.99753094,0.9981929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xml,0.9784216,0.9609503,0.9984266,0.9870226,0.98653054,0.99462026,0.9982114,0.9995235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jsp,0.97969437,0.9996349,0.99958557,0.9907246,0.9721988,0.99267983,0.9980457,0.998787,0.99386156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
